工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
少儿编程讲师,苏州·苏州工业园区·湖东,小码教育,9-10K·13薪,本科,在线教育,经验不限,https://www.zhipin.com/gongsi/f7f8ddf0deaa72f403Vy3du-.html
Python运维开发工程师（校招）,苏州·苏州工业园区·独墅湖,友谊时光,5-8K,本科,游戏,在校/应届,https://www.zhipin.com/gongsi/ab8e61e1024117b033Z63NS4GA~~.html
Python,苏州·苏州工业园区·湖东,学大教育,6-8K,本科,培训机构,1年以内,https://www.zhipin.com/gongsi/0b61bdc4d441abb21nB639u4GA~~.html
网络爬虫工程师,苏州·太仓市·万达广场,中润集团,10-15K,本科,O2O,3-5年,https://www.zhipin.com/gongsi/1b088b62e77a22081nN_29W6.html
python开发,苏州·苏州工业园区·独墅湖,中软国际,12-24K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
python开发工程师,苏州·苏州工业园区·独墅湖,众言科技,15-25K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
大数据工程师,苏州,智慧芽,15-30K·14薪,本科,互联网,经验不限,https://www.zhipin.com/gongsi/4a723a5a71a44d740XZz3g~~.html
Python开发工程师,苏州·苏州工业园区·独墅湖,华为,15-25K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
软件开发工程师（SW）(Python),苏州,江苏创源智能,15-25K,本科,仪器仪表/工业自动化,3-5年,https://www.zhipin.com/gongsi/17de181fea948db81H1739u6Fg~~.html
Python开发工程师,苏州·苏州工业园区·独墅湖,东湾信息,11-22K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/6c2435663822b58b1nZ43926GA~~.html
Python开发工程师,苏州·苏州工业园区·娄葑,楷轩伟业有限公司,15-22K,本科,计算机服务,5-10年,https://www.zhipin.com/gongsi/a1a1c54dfe72b35a1nZ-2ty4FVc~.html
SDN开发工程师,苏州·苏州工业园区·独墅湖,云杉网络,13-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/8568a1452ec57ccc0HF93du4.html
后端开发工程师,苏州·相城区·蠡口家具城,Plus,35-65K·14薪,硕士,计算机软件,3-5年,https://www.zhipin.com/gongsi/fd9721a0772723d11XZ92d-0EA~~.html
高级平台开发工程师,苏州,迈科网络,14-22K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/0d382e9128b119f51Xx709U~.html
python程序员，开发工程师,苏州·虎丘区·木渎,好客搜,15-25K,大专,互联网,3-5年,https://www.zhipin.com/gongsi/3ce636a946d158b233F_096-GQ~~.html
后端开发实习生,苏州·相城区·高铁新城,魔门塔科技,9-11K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
软件工程师,苏州·虎丘区·枫桥地区,SLC,15-20K,本科,工程施工,3-5年,https://www.zhipin.com/gongsi/8a3fcf06cb9151b31ndy29W6GA~~.html
Python高级开发工程师,苏州·苏州工业园区·独墅湖,研途教育科技,15-17K,大专,互联网,3-5年,https://www.zhipin.com/gongsi/794b561009c898fc1nR62d-1.html
Python,苏州,苏州若态科技,11-16K,大专,玩具/礼品,1-3年,https://www.zhipin.com/gongsi/df4fcaee71b31ba31nJ63t2_FQ~~.html
Python开发工程师,苏州·昆山市·玉山,益麦电磁,11-15K,硕士,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/d8a57555a93cf0a00nR-3Nm4.html
Python开发工程师,苏州·苏州工业园区·月亮湾,万得,10-15K·14薪,本科,数据服务,1-3年,https://www.zhipin.com/gongsi/3be219eff47214b91nB42N26EQ~~.html
爬虫开发,苏州·苏州工业园区·娄葑,苏州鑫锦华,15-30K,本科,其他服务业,1-3年,https://www.zhipin.com/gongsi/735ba89e4309d9341nN52t6-E1U~.html
高级python开发工程师-苏州,苏州·苏州工业园区·独墅湖,众言科技,12-24K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
Python工程师,苏州·苏州工业园区·独墅湖,华为,14-28K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
上位机软件工程师,苏州·苏州工业园区·胜浦,镁伽科技,18-25K·16薪,本科,智能硬件,3-5年,https://www.zhipin.com/gongsi/a1477bf5e1295b4a1HVz0t-0.html
产品开发经理,苏州·苏州工业园区·湖东,超存软件科技,9-12K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/b6a95a47a449d73a3nF63NS1.html
Python开发工程师,苏州·昆山市·花桥,山梧智能,8-10K,本科,智能硬件,1年以内,https://www.zhipin.com/gongsi/26d68bcd72795e501nZ_2N60E1Q~.html
Odoo工程师,苏州·张家港市·凤凰镇,德莱美,5-10K·15薪,大专,日化,1-3年,https://www.zhipin.com/gongsi/09649270141ef55003x739u0Fw~~.html
Python开发工程师,苏州·苏州工业园区·独墅湖,日贸通,8-12K,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/aa46a8bff7aeb4331nB72Ny7GFU~.html
爬虫工程师,苏州·苏州工业园区·独墅湖,苏州瑞翼,10-15K·14薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/9cc903e22af216e21XN93Ny7.html
Python后端开发工程师,苏州·吴江区·松陵,中达电子,6-8K·14薪,本科,电子商务,1-3年,https://www.zhipin.com/gongsi/0527ceb76bc400a71XJ509S0.html
数据运维工程师,苏州·苏州工业园区·湖东,苏州量堂信息科技...,7-11K·13薪,不限,互联网,经验不限学历,https://www.zhipin.com/gongsi/d60bfdbddbe3808203Z_39q5GA~~.html
爬虫工程师,苏州,布瑞克,8-12K,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/5096ba6b2303fb1c0XF-2dS0EA~~.html
python开发,苏州·虎丘区·高新区,Sifo,5-10K,本科,仪器仪表/工业自动化,经验不限,https://www.zhipin.com/gongsi/1f7ce5748ce973201XZ50tS7EQ~~.html
软件开发工程师,苏州·昆山市·开发区,鼎镁新材料,8-12K,大专,机械设备/机电/重工,3-5年,https://www.zhipin.com/gongsi/6731f4f8aafe37051nx839u1EFA~.html
数据工程师,苏州,中越科技,5-10K·13薪,本科,计算机服务,经验不限,https://www.zhipin.com/gongsi/06b53f084e9cf5481XR709y9Fg~~.html
爬虫工程师,苏州·吴中区·越溪,追觅科技,12-24K·15薪,本科,家具/家电/家居,1-3年,https://www.zhipin.com/gongsi/86aacce0b3d9a1121nx62d29FlM~.html
Python后端开发,苏州,江苏创源智能,15-23K·13薪,本科,仪器仪表/工业自动化,3-5年,https://www.zhipin.com/gongsi/17de181fea948db81H1739u6Fg~~.html
python 开发工程师,苏州·苏州工业园区·独墅湖,巴纳德,10-15K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/70154d3196a7f1991nR-29q0GFM~.html
Python高级工程师,苏州·苏州工业园区·湖东,苏州闻道,12-20K·14薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/5c35d625f63a4d650nR829i_.html
Python工程师,苏州·苏州工业园区·独墅湖,机数芯微科技,12-15K·14薪,本科,电子/半导体/集成电路,1-3年,https://www.zhipin.com/gongsi/cde4c530ffc0c9a31ndy2Ni6GVo~.html
Python开发工程师,苏州·苏州工业园区·娄葑,方舟信息技术,10-14K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/1acc2f04dfab04af1HB50964.html
物联网后台工程师,苏州·昆山市·玉山,微商通网络,25-30K·14薪,本科,移动互联网,5-10年,https://www.zhipin.com/gongsi/d10d5ddf14196f3403Ny2tS9Fw~~.html
python工程师,苏州·苏州工业园区·独墅湖,中软国际,11-20K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
Python高级开发工程师,苏州·苏州工业园区·独墅湖,研途教育科技,15-17K,大专,互联网,3-5年,https://www.zhipin.com/gongsi/794b561009c898fc1nR62d-1.html
爬虫工程师 (MJ000101),苏州·姑苏区·苏锦,联恩商钥,10-15K,本科,电子商务,1-3年,https://www.zhipin.com/gongsi/18584156a2cc7b681nFy3d-_GVQ~.html
Python开发工程师,苏州·姑苏区·友新,川普,10-11K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/53f9676213a94cb01nVz3tq5GA~~.html
资深python开发工程师-苏州,苏州·苏州工业园区·独墅湖,众言科技,16-30K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
python开发工程师,苏州,誉隆信息,10-15K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/bc666f46f311ccdb1XV63ty_Fg~~.html
python,苏州·昆山市·花桥,山梧智能,10-15K,本科,智能硬件,1-3年,https://www.zhipin.com/gongsi/26d68bcd72795e501nZ_2N60E1Q~.html
软件工程师,苏州·昆山市·玉山,立臻科技,6-10K,大专,电子/半导体/集成电路,1-3年,https://www.zhipin.com/gongsi/36c63bb74e4c6dbf1ndy2NS0EVI~.html
erp开发,苏州,苏州若态科技,8-13K,大专,玩具/礼品,1-3年,https://www.zhipin.com/gongsi/df4fcaee71b31ba31nJ63t2_FQ~~.html
Python,苏州,布瑞克,10-15K,本科,电子商务,3-5年,https://www.zhipin.com/gongsi/5096ba6b2303fb1c0XF-2dS0EA~~.html
python爬虫工程师实习生（标签方向）,苏州·苏州工业园区·独墅湖,苏州瑞翼,200-250元/天,本科,互联网,5天/周5个月,https://www.zhipin.com/gongsi/9cc903e22af216e21XN93Ny7.html
数据工程师,苏州·吴中区·城南,中越科技,5-10K·13薪,本科,计算机服务,经验不限,https://www.zhipin.com/gongsi/06b53f084e9cf5481XR709y9Fg~~.html
中级python 开发工程师,苏州·苏州工业园区·独墅湖,巴纳德,6-11K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/70154d3196a7f1991nR-29q0GFM~.html
Python开发工程师,苏州·昆山市·玉山,益麦电磁,8-13K,本科,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/d8a57555a93cf0a00nR-3Nm4.html
Python开发工程师,苏州·苏州工业园区·独墅湖,中软国际,15-20K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
Python开发工程师,苏州·苏州工业园区·东沙湖,上海海加网,10-15K,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/8e50b0fa3bb726040HZ829u5EA~~.html
计算机软件开发,苏州·苏州工业园区·独墅湖,华为数字技术,15-30K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/821ebb50171d3e8d1XF82tS1Fg~~.html
资深Python研发工程师,苏州·苏州工业园区·斜塘,美能华智能科技,20-35K,本科,计算机服务,5-10年,https://www.zhipin.com/gongsi/988ddb1b1a04f55e3ndz2t6-GA~~.html
人工智能工程师,苏州·苏州工业园区·车坊,苏州金瑞阳,20-30K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/aa6427bde4ad2d8b1HJ909u5Eg~~.html
web全栈工程师,苏州·苏州工业园区·东沙湖,星融,15-25K·15薪,本科,通信/网络设备,3-5年,https://www.zhipin.com/gongsi/315f26759eb9c76033143di4EA~~.html
高级python后端开发工程师,苏州·苏州工业园区·独墅湖,深圳埃克斯工业自动化,25-35K·13薪,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/6d86c37ca4f47a0c1nVz0tS8ElQ~.html
Python工程师,苏州·苏州工业园区·胜浦,苏州精创,15-24K,本科,仪器仪表/工业自动化,1-3年,https://www.zhipin.com/gongsi/287332b9d575d6400HF509u0Fg~~.html
Python算法工程师,苏州·相城区·蠡口家具城,翼帆数字科技,25-35K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/6806d03f186692483nR62Ny-GA~~.html
软件算法工程师,苏州,智翼博,12-24K,本科,仪器仪表/工业自动化,3-5年,https://www.zhipin.com/gongsi/b8350e1661f26c651nB-2dm6GFo~.html
算法工程师,苏州·苏州工业园区·车坊,谷夫道,12-24K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/7d06cdfc21a4039c03Fy3dy9GA~~.html
高级软件开发工程师,苏州·相城区·元和,capsio,11-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/c93ed2d8583753610HV43tS9Fw~~.html
Odoo开发工程师,苏州·相城区·元和,昆山一百,15-25K,不限,计算机软件,5-10年学历,https://www.zhipin.com/gongsi/c06506264cd39cdc0Hx939S0FA~~.html
后台工程师,苏州·苏州工业园区·湖东,星昕教育,15-28K·13薪,本科,在线教育,5-10年,https://www.zhipin.com/gongsi/24d7968e78cded870XJ72Ny9EQ~~.html
高级后台开发工程师,苏州·苏州工业园区·独墅湖,埃克斯工业,18-25K·13薪,大专,电子/半导体/集成电路,5-10年,https://www.zhipin.com/gongsi/31de1e66bf6665043nV639y4Eg~~.html
Python工程师,苏州·相城区·蠡口家具城,恺士佳,12-24K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/91cadbe3e22fb7901HV53N2_EA~~.html
云安全研发工程师,苏州·虎丘区·科技城,山石网科,12-20K·14薪,本科,信息安全,1-3年,https://www.zhipin.com/gongsi/9fcbdcb3376313ee1HF909u8Ew~~.html
爬虫大数据,苏州·苏州工业园区·独墅湖,禾禾贯文,14-25K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/533be7ce1e89ba351HZ42Ni-Fw~~.html
Python开发工程师,苏州·吴江区·太湖新城（吴江）,江苏创源智能,11-18K,本科,仪器仪表/工业自动化,10年以上,https://www.zhipin.com/gongsi/17de181fea948db81H1739u6Fg~~.html
Python高级开发工程师,苏州,研途教育科技,17-20K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/794b561009c898fc1nR62d-1.html
Python助理工程师,苏州·苏州工业园区·斜塘,派盯智能科技,4-7K,大专,计算机软件,在校/应届,https://www.zhipin.com/gongsi/16adb1db2c938c4b1nZ-2Ny4FFM~.html
全栈工程师,苏州,中贸大数据,28-29K,本科,数据服务,5-10年,https://www.zhipin.com/gongsi/cb263dec33cce4e71nd-2dW6E1o~.html
Python开发工程师,苏州·虎丘区·枫桥地区,阿特斯阳光电力集团,15-18K·14薪,本科,智能硬件,3-5年,https://www.zhipin.com/gongsi/a338a8b8f78cafb71nx-3NS7GFc~.html
python高级开发工程师,苏州·苏州工业园区·娄葑,中惠盈科技,15-20K·14薪,大专,互联网,3-5年,https://www.zhipin.com/gongsi/3814596418ed01f51nN_2N20FlQ~.html
Python开发工程师,苏州·苏州工业园区·独墅湖,聪创科技,11-20K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/7d67b198abe5e86c1Hx9098~.html
Python开发工程师,苏州·相城区·元和,中亿丰,12-20K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/d71757a1fe1314ae1nN93Ni9EFA~.html
python开发工程师,苏州·苏州工业园区·湖东,创腾科技,12-18K·13薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/74e3340fddd1acce0nd5396_.html
CAE仿真工程师,苏州·虎丘区·科技城,上海数设科技有限公司,12-20K·13薪,硕士,计算机软件,1-3年,https://www.zhipin.com/gongsi/12fb32531ddd0bf61n1709y6GVs~.html
Python,苏州·相城区·元和,琅润达,13-20K,大专,互联网,3-5年,https://www.zhipin.com/gongsi/1de69e44a0cafdd80HZ-29W0Ew~~.html
大数据开发工程师,苏州·常熟市·招商城,中服焦点,12-20K·15薪,本科,电子商务,1-3年,https://www.zhipin.com/gongsi/92d4b3ad0e00b9610HR72di4Fw~~.html
爬虫工程师,苏州·苏州工业园区·湖东,发现报告,13-20K·13薪,大专,互联网,3-5年,https://www.zhipin.com/gongsi/b4ce07f17e538fa80XJ_0ti_Eg~~.html
python开发工程师,苏州·吴中区·独墅湖,苏州仙峰游戏,11-20K·13薪,大专,游戏,3-5年,https://www.zhipin.com/gongsi/43d462625ec25bbd1HN_2tu-FA~~.html
python开发,苏州·苏州工业园区·独墅湖,泰迪科技,13-18K,大专,互联网,1-3年,https://www.zhipin.com/gongsi/e6e7a292d328f5f21nx40tm_.html
Python应用开发工程师,苏州·苏州工业园区·湖东,慧维智能,12-17K·14薪,本科,医疗健康,1-3年,https://www.zhipin.com/gongsi/8ea3e3e858fabfc70nd439S4Fg~~.html
高级Python软件工程师,苏州·苏州工业园区·独墅湖,苏州锐讯,11-16K·13薪,本科,医疗设备/器械,1-3年,https://www.zhipin.com/gongsi/907f45c1cf74af9f1Xx729u5Ew~~.html
Python C++,苏州·姑苏区·十全街,仙林力齐电子,16-25K·13薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/166cbdbe5f66a4491nd929q5FFo~.html
爬虫开发工程师,苏州·苏州工业园区·独墅湖,苏州箴全,12-18K,本科,文化/体育/娱乐,3-5年,https://www.zhipin.com/gongsi/02f262ce51a9455a1nB-29q7F1o~.html
全栈工程师,苏州·昆山市·周市,共泊智能,15-20K,大专,智能硬件,5-10年,https://www.zhipin.com/gongsi/50f9d70b9bbbcff61ndy2Nm6FlI~.html
python 华为自研项目-管理线培养方向,苏州·苏州工业园区·独墅湖,华为,15-30K·16薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
高级odoo开发工程师,苏州·苏州工业园区·独墅湖,巴纳德,10-15K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/70154d3196a7f1991nR-29q0GFM~.html
Python,苏州·吴中区·郭巷,加洲网络信息,5-10K,本科,电子商务,1年以内,https://www.zhipin.com/gongsi/7457b1759301016f1ndy3tu1EVA~.html
python开发,苏州·苏州工业园区·独墅湖,中软国际,11-18K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
python工程师,苏州·苏州工业园区·独墅湖,众言科技,11-16K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
python算法工程师,苏州·虎丘区·木渎,苏州小嗨游,9-13K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/3b74e51ec8a75fa40XR-2tS5GA~~.html
软件开发工程师,苏州,彩科生物,10-15K·13薪,本科,医疗设备/器械,1-3年,https://www.zhipin.com/gongsi/d0b1a5061316fdc11nB739W1ElQ~.html
Python开发（双休）,苏州·苏州工业园区·独墅湖,梵尚传媒,8-12K,大专,移动互联网,1年以内,https://www.zhipin.com/gongsi/0d25dc0443dff89603Fy09u-EA~~.html
后端开发工程师-RPA,苏州·苏州工业园区·工业园区,数字力量,5-10K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/4a7d9a13655f02ba33Ry29y1Fw~~.html
软件开发,苏州·苏州工业园区·月亮湾,道征科技,3-8K,大专,广告营销,经验不限,https://www.zhipin.com/gongsi/97a05085c5f43ae01nF73di8EFA~.html
编程老师,苏州·昆山市·北门路,昂瑞教育科技,6-10K,大专,培训机构,1-3年,https://www.zhipin.com/gongsi/43a8ee5f6dff756703R50tq6Fw~~.html
Python讲师,苏州·虎丘区·科技城,南京哈乐迪教育咨询,4-6K,大专,培训机构,经验不限,https://www.zhipin.com/gongsi/03931a7a9e853bd41HR_2du-GA~~.html
云计算工程师（智能）,苏州,清华汽研院,10-13K,本科,汽车零部件,1-3年,https://www.zhipin.com/gongsi/623943e8350359351HF52NS9Ew~~.html
少儿编程教师,苏州·张家港市·杨舍镇,优博特创客,5-10K,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/96a23c86f51fafa71nZ539m7E1A~.html
Python开发工程师,苏州·吴中区·甪直,中析,8-13K,大专,医疗设备/器械,1-3年,https://www.zhipin.com/gongsi/fcc8c38e744abec433Z72Nq-Eg~~.html
高级爬虫工程师,苏州·姑苏区·南门,苏信通,9-14K,大专,互联网,1-3年,https://www.zhipin.com/gongsi/7bd0906384bd3d401HB_0tm6FQ~~.html
python工程师,苏州·苏州工业园区·独墅湖,苏州奇梦者科技,6-10K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/f06880a77a3078b51n1-2ty4GFY~.html
Python工程师,苏州·苏州工业园区·独墅湖,遥遥在望科技,5-8K,本科,媒体,经验不限,https://www.zhipin.com/gongsi/908db781a5e348771nRz2dW0EVU~.html
RPA实施开发工程师,苏州·吴中区·木渎,奔腾达,6-11K,本科,计算机服务,1-3年,https://www.zhipin.com/gongsi/02e2d2853c61f1701H1z0969.html
RPA实习工程师,苏州·苏州工业园区·独墅湖,希艾欧,3-5K,本科,计算机软件,1年以内,https://www.zhipin.com/gongsi/1956f25254c7b6381nN52Nq-EFM~.html
Python,苏州·苏州工业园区·苏州中心商场,吴中区城区百溪日用百,7-10K,大专,食品/饮料/烟酒,1-3年,https://www.zhipin.com/gongsi/97315dead6e45abb1nRy2du1Elc~.html
高级爬虫工程师,苏州·苏州工业园区·独墅湖,苏州开心盒子,10-15K·13薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2a7fec964bf64f671n1809-8.html
生物信息工程师,苏州·苏州工业园区·独墅湖,健路生物,8-12K·13薪,本科,医疗健康,1-3年,https://www.zhipin.com/gongsi/fea4f624cb4b00ce1nx82NW5.html
编程主管,苏州·吴中区·木渎,筑巢,8-13K,本科,广告营销,经验不限,https://www.zhipin.com/gongsi/22853c24164fe7a21HN509q4EA~~.html
Python开发工程师,苏州·苏州工业园区·车坊,海管家,10-15K·13薪,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/b924c7e93fd64ee603143tu0FQ~~.html
Python开发工程师,苏州·虎丘区·狮山,深至,10-15K·13薪,本科,数据服务,1-3年,https://www.zhipin.com/gongsi/8f4173c393c7f2f503F72NW9Fw~~.html
爬虫工程师,苏州·苏州工业园区·斜塘,中科院计算所苏研院,10-11K·15薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/3c4cb697127975651nx_39W1GFM~.html
后端开发工程师,苏州·苏州工业园区·独墅湖,随身玩,5-10K,本科,互联网,经验不限,https://www.zhipin.com/gongsi/7318445a61d1357f0XR52t24.html
Python开发工程师,苏州·姑苏区·胥江,和牧兴邦,6-11K·13薪,大专,互联网,经验不限,https://www.zhipin.com/gongsi/d86c75140096b09c1nBy3t67Elo~.html
Python工程师,苏州·苏州工业园区·独墅湖,医智囊,8-13K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/7aaa60b28d93c18e0XF52NS8Eg~~.html
量化交易算法工程师,苏州·姑苏区·苏锦,讯淘,8-13K,本科,数据服务,1-3年,https://www.zhipin.com/gongsi/df0afe3df6eb70d61nd929u_Elc~.html
Python程序员,苏州·苏州工业园区·独墅湖,赤虎鲸,8-13K·13薪,大专,游戏,经验不限,https://www.zhipin.com/gongsi/081b18aa3f2159521Xdz29-0EA~~.html
Python,苏州·苏州工业园区·东沙湖,MOSYNX,5-9K·13薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a00918d48d6bf93c1nJ70tu5GVI~.html
Python爬虫工程师,苏州,凌旭科技,6-11K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/f94b34a8687db1911nR-0tm8Ew~~.html
Python开发,苏州,云游四方,10-15K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/8139696d8cab8d8c0XB72tu8EQ~~.html
中级Python工程师,苏州·苏州工业园区·娄葑,思杰马克丁,10-15K,大专,互联网,3-5年,https://www.zhipin.com/gongsi/b23ae2c2db267c301XFz2N-1.html
Python讲师,苏州·苏州工业园区·湖西CBD,青创赢,6-8K,本科,在线教育,1年以内,https://www.zhipin.com/gongsi/ab7a7dba57483a3c33x42Nu-.html
后端开发工程师,苏州·相城区·活力岛,触宇科技,9-14K·13薪,本科,电子/半导体/集成电路,1-3年,https://www.zhipin.com/gongsi/3213dc6ffab06fff1nd72N64GFI~.html
Python开发工程师,苏州·苏州工业园区·月亮湾,海赛,9-10K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/f24c10be01e0994e1nF63N-1FA~~.html
python开发,苏州,泽汇动力,10-15K·13薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ab0ff5ce37d2a9491X1z2tm-Fw~~.html
少儿编程老师,苏州·昆山市·玉山,创智慧,5-10K,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/bfaf337fdf2749700X1-3tq_Eg~~.html
爬虫工程师,苏州·苏州工业园区·独墅湖,企二哥,8-13K,本科,企业服务,5-10年,https://www.zhipin.com/gongsi/0ab64d76b13288f01nV_2dm-FFs~.html
Python开发工程师,苏州·苏州工业园区·独墅湖,黑云信息科技,8-11K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/6b98833f7e0d6bee03J82dy_FQ~~.html
Python教师,苏州·苏州工业园区·李公堤,立乐教育,4-8K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2d863bc3ebf148a71Hx82tq8.html
IIoT开发工程师,苏州·苏州工业园区·独墅湖,苏州超集信息,8-13K,大专,智能硬件,1-3年,https://www.zhipin.com/gongsi/3488d34fd9af36bb1HB839o~.html
后端开发工程师,苏州·虎丘区·狮山,苏州易柯露,10-15K,本科,环保,经验不限,https://www.zhipin.com/gongsi/334dfac84b9a72101HZ53dm_Fw~~.html
后端python实习生-苏州,苏州,爱特曼,200-350元/天,本科,计算机软件,4天/周4个月,https://www.zhipin.com/gongsi/787e671cf4a027931HJ_39S-.html
python工程师,苏州,苏州三思,5-8K,大专,计算机软件,经验不限,https://www.zhipin.com/gongsi/f0b39b0afbc91dcc3nZ90tW7.html
高级平台开发工程师,苏州·苏州工业园区·独墅湖,迈科网络,14-22K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/0d382e9128b119f51Xx709U~.html
高级Python研发工程师,苏州·苏州工业园区·斜塘,美能华智能科技,13-25K,本科,计算机服务,3-5年,https://www.zhipin.com/gongsi/988ddb1b1a04f55e3ndz2t6-GA~~.html
Python 工程师,苏州·苏州工业园区·斜塘,机数芯微科技,17-25K·14薪,本科,电子/半导体/集成电路,3-5年,https://www.zhipin.com/gongsi/cde4c530ffc0c9a31ndy2Ni6GVo~.html
python后台开发工程师,苏州·苏州工业园区·独墅湖,深圳埃克斯工业自动化,12-24K·13薪,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/6d86c37ca4f47a0c1nVz0tS8ElQ~.html
后台Scala/Python工程师,苏州·苏州工业园区·湖东,星昕教育,15-28K·13薪,本科,在线教育,5-10年,https://www.zhipin.com/gongsi/24d7968e78cded870XJ72Ny9EQ~~.html
全栈开发实习生,苏州,数瞳科技,150-220元/天,本科,计算机软件,4天/周3个月,https://www.zhipin.com/gongsi/c5c01574152455b21nRz3N67ElM~.html
Python开发工程师,苏州,拓普森,8-13K,本科,咨询,1-3年,https://www.zhipin.com/gongsi/3adbe494f8de9c761nBy3Nq9EVI~.html
Python量化交易工程师,苏州·苏州工业园区·东沙湖,东州科技,10-15K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/b097517875c7a60d1XR42dW7FQ~~.html
RPA工程师,苏州·相城区·元和,上海德成,8-10K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/391e39883fe15f611ndz3Ni4EVY~.html
python工程师,苏州·昆山市·玉山,液滴逻辑生物技术,11-20K·14薪,本科,医疗设备/器械,1-3年,https://www.zhipin.com/gongsi/1bfe63dec5a10aa61nJ629-9EFM~.html
Python开发工程师,苏州·苏州工业园区·斜塘,派盯智能科技,4-8K,大专,计算机软件,在校/应届,https://www.zhipin.com/gongsi/16adb1db2c938c4b1nZ-2Ny4FFM~.html
后端软件工程师,苏州·吴中区·甪直,苏州雷格特,10-15K,本科,智能硬件,3-5年,https://www.zhipin.com/gongsi/564aff0a6e51a3c41nB609i_E1M~.html
软件开发工程师,苏州·苏州工业园区·玲珑,艾聚达,9-13K·13薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/0b07f4501c9b3d881nd92dS7FFQ~.html
